Standard response fields,,,,
Field name,Description,Example,Status,Standard
Retry-After,"If an entity is temporarily unavailable, this instructs the client to try again later. Value could be a specified period of time (in seconds) or a HTTP-date.","Example 1: Retry-After: 120
 Example 2: Retry-After: Fri, 07 Nov 2014 23:59:59 GMT",Permanent,RFC 9110
Server,A name for the server,Server: Apache/2.4.1 (Unix),Permanent,RFC 9110
Set-Cookie,An HTTP cookie,Set-Cookie: UserID=JohnDoe; Max-Age=3600; Version=1,Permanent: standard,RFC 6265
Strict-Transport-Security,A HSTS Policy informing the HTTP client how long to cache the HTTPS only policy and whether this applies to subdomains.,Strict-Transport-Security: max-age=16070400; includeSubDomains,Permanent: standard,
Trailer,The Trailer general field value indicates that the given set of header fields is present in the trailer of a message encoded with chunked transfer coding.,Trailer: Max-Forwards,Permanent,RFC 9110
Transfer-Encoding,"The form of encoding used to safely transfer the entity to the user. Currently defined methods are: chunked, compress, deflate, gzip, identity. Must not be used with HTTP/2.",Transfer-Encoding: chunked,Permanent,RFC 9110
Tk,"Tracking Status header, value suggested to be sent in response to a DNT(do-not-track), possible values: ""!"" — under construction
""?"" — dynamic
""G"" — gateway to multiple parties
""N"" — not tracking
""T"" — tracking
""C"" — tracking with consent
""P"" — tracking only if consented
""D"" — disregarding DNT
""U"" — updated",Tk: ?,Permanent,
Upgrade,Ask the client to upgrade to another protocol. Must not be used in HTTP/2,"Upgrade: h2c, HTTPS/1.3, IRC/6.9, RTA/x11, websocket",Permanent,RFC 9110
Vary,Tells downstream proxies how to match future request headers to decide whether the cached response can be used rather than requesting a fresh one from the origin server.,"Example 1: Vary: *
 Example 2: Vary: Accept-Language",Permanent,RFC 9110
Via,Informs the client of proxies through which the response was sent.,"Via: 1.0 fred, 1.1 example.com (Apache/1.1)",Permanent,RFC 9110
Warning,A general warning about possible problems with the entity body.,Warning: 199 Miscellaneous warning,Obsolete,"RFC 7234, 9111"
WWW-Authenticate,Indicates the authentication scheme that should be used to access the requested entity.,WWW-Authenticate: Basic,Permanent,RFC 9110
X-Frame-Options,"Clickjacking protection: deny - no rendering within a frame, sameorigin - no rendering if origin mismatch, allow-from - allow from specified location, allowall - non-standard, allow from any location",X-Frame-Options: deny,Obsolete,
